round,player_move,ai_move,winner
1106,2.0,3,AI
1107,3.0,1,AI
1108,3.0,1,AI
1109,3.0,3,Draw
1110,3.0,3,Draw
1111,1.0,3,Player
1112,3.0,1,AI
1113,2.0,3,AI
1114,2.0,1,Player
1115,1.0,1,Draw
1116,2.0,3,AI
1117,3.0,2,Player
1118,3.0,3,Draw
1119,3.0,1,AI
1120,2.0,1,Player
1121,1.0,3,Player
1122,1.0,3,Player
1123,1.0,3,Player
1124,2.0,1,Player
1125,3.0,3,Draw
1126,2.0,3,AI
1127,2.0,1,Player
1128,2.0,3,AI
1129,2.0,3,AI
1130,1.0,3,Player
1131,3.0,2,Player
1132,2.0,2,Draw
1133,2.0,1,Player
1134,1.0,3,Player
1135,1.0,3,Player
1136,2.0,3,AI
1137,1.0,3,Player
1138,3.0,3,Draw
1139,1.0,3,Player
1140,3.0,2,Player
1141,3.0,2,Player
1142,2.0,3,AI
1143,2.0,1,Player
1144,2.0,3,AI
1145,3.0,3,Draw
1146,1.0,3,Player
1147,2.0,3,AI
1148,1.0,1,Draw
1149,2.0,1,Player
1150,3.0,1,AI
1151,2.0,3,AI
1152,2.0,3,AI
1153,,2,AI
1154,2.0,3,AI
1155,3.0,1,AI
1156,2.0,2,Draw
1157,1.0,1,Draw
1158,1.0,1,Draw
1159,2.0,3,AI
1160,2.0,1,Player
1161,3.0,3,Draw
1162,1.0,3,Player
1163,1.0,3,Player
1164,2.0,3,AI
1165,3.0,1,AI
1166,2.0,3,AI
1167,2.0,3,AI
1168,2.0,3,AI
1169,1.0,1,Draw
1170,2.0,3,AI
1171,2.0,3,AI
1172,1.0,2,AI
1173,3.0,1,AI
1174,3.0,1,AI
1175,2.0,1,Player
1176,3.0,3,Draw
1177,3.0,1,AI
1178,,3,AI
1179,1.0,1,Draw
1180,1.0,2,AI
1181,3.0,1,AI
1182,2.0,2,Draw
1183,3.0,1,AI
1184,2.0,2,Draw
1185,2.0,3,AI
1186,2.0,1,Player
1187,3.0,3,Draw
1188,3.0,2,Player
1189,1.0,2,AI
1190,2.0,3,AI
1191,3.0,1,AI
1192,3.0,1,AI
1193,2.0,3,AI
1194,3.0,3,Draw
1195,2.0,3,AI
1196,3.0,1,AI
1197,2.0,1,Player
1198,1.0,1,Draw
1199,3.0,3,Draw
1200,2.0,3,AI
1201,2.0,1,Player
1202,2.0,1,Player
1203,3.0,2,Player
1204,2.0,3,AI
1205,2.0,3,AI
1206,3.0,3,Draw
1207,1.0,1,Draw
1208,3.0,1,AI
1209,2.0,1,Player
1210,2.0,3,AI
1211,1.0,3,Player
1212,3.0,2,Player
1213,1.0,3,Player
1214,2.0,1,Player
1215,2.0,3,AI
1216,3.0,2,Player
1217,2.0,1,Player
1218,3.0,1,AI
